meeting details,Job profile,Job family,Overall experience(in years),Primary Skill,secondary Skill,certifications,Org Experience,TQ score,Language proficiency,Employment type (Full time/part time),Management level,Specialization,Trainings,Highest qualification,countrycode,Meeting required/optional,Email mention(yes/No),meeting type(series/instance),recent emails related to meeting invite(yes/No)
java training call,custom software engineering analyst,Sourcing & Procurement Services > Vendor Management,27,Advance Front End Development NodeJs,Architectural Design,AWS,14,8,"english, french",full time,11-Analyst,project management,management,btech,US,optional,No,instance,yes
Java proect KT call,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,13,Java Enterprise Edition,Jakarta Enterprise Beans,java,19,11,"english, japanese",full time,12-Associate,project management,angular,btech,US,optional,No,instance,yes
people lead connect - discuss queries,Packaged App Development Analyst,Software Engineering > Packaged Application Development,4,SAP ABAP Development,Avanade Scrum Project Management,front end,18,12,"english, french",full time,10-Senior Analyst,Microsoft frontend,Java,mba,IN,required,No,series,no
User login issue - client call,Business Interlock Manager,Software Engineering > Packaged Application Development,13,Angular,Amazon Web Services (AWS),management ,13,8,"english, german",full time,12-Associate,Microsoft backend,SAP,btech,IN,optional,No,instance,yes
java training call,custom software engineering associate manager,Information Technology Operations > Software/Application/Cloud Tech Support,26,Automated Testing,Architectural Design,AWS,6,5,"english, japanese",part time,11-Analyst,Cloud,angular,btech,PH,optional,No,series,yes
new vendor onboarding call,Business Interlock Manager,Technology & Information Architectures > Technology Architecture,1,Communications Development and Delivery,Microsoft Avanade Agile Framework (AAF),management ,3,5,"english, french",full time,7-Manager,AWS,google cloud,mca,IN,optional,No,instance,no
Agile scrum KT call,custom software engineering analyst,Human Resources > People Advisor,13,Applications Architecture,Candidate Relationship Management,Azure,14,3,"english, german",full time,11-Analyst,project management,management,bca,IN,required,No,instance,no
Test team status call,Vendor Management Specialist,Software Engineering > Packaged Application Development,4,Stakeholder Management,SAP for Utilities ,Azure,12,10,"english, japanese",full time,11-Analyst,SAP,dot net,mca,IN,optional,yes,instance,yes
troubleshooting call - login issue,custom software engineering analyst,Software Engineering > Packaged Application Development,6,SAP ABAP Development,ASP.NET MVC,front end,5,12,"english, french",full time,11-Analyst,Microsoft backend,dot net,btech,SL,required,yes,series,no
User login issue - client call,Custom Software Engineering Specialist,Sourcing & Procurement Services > Vendor Management,12,Communications Development and Delivery,Quality Engineering Strategy Implementation,Azure,6,8,"english, japanese",full time,12-Associate,Microsoft frontend,angular,btech,PH,required,No,instance,no
scrum call SAP project ,custom software engineering associate manager,Sourcing & Procurement Services > Vendor Management,17,Stakeholder Management,ASP.NET MVC,SAP,14,10,"english, hindi",full time,12-Associate,Cloud,management,btech,IN,required,No,series,yes
java training call,custom software engineering analyst,Software Engineering > Packaged Application Development,28,Microsoft Functional Testing,Amazon Web Services (AWS),SAP,4,11,"english, japanese",part time,10-Senior Analyst,Cloud,dot net,mca,US,required,No,instance,yes
Java proect KT call,Business Interlock Manager,Software Engineering > Custom Software Engineering,1,SAP ABAP Development,Amazon Web Services (AWS),management ,14,11,"english, hindi",full time,10-Senior Analyst,Microsoft backend,management,mca,IN,optional,No,instance,yes
new vendor onboarding call,Tech Architecture Manager,Human Resources > People Advisor,26,Microsoft ASP.NET,Avanade Scrum Project Management,management ,8,12,"english, hindi",full time,10-Senior Analyst,Microsoft frontend,google cloud,mba,PH,optional,No,series,yes
people lead connect - discuss queries,SW/App/Cloud Tech Support Assoc Manager,Software Engineering > Custom Software Engineering,9,.NET Architecture,Candidate Relationship Management,Scrum,3,10,"english, french",part time,11-Analyst,AWS,dot net,btech,PH,required,No,series,yes
User login issue - client call,custom software engineering analyst,Software Engineering > Custom Software Engineering,25,Stakeholder Management,ASP.NET MVC,management ,4,10,"english, hindi",part time,8-Associate Manager,Google cloud,SAP,mba,IN,optional,No,instance,yes
weekly status call ,People Advisor Analyst,Software Engineering > Custom Software Engineering,1,Automated Testing,Architectural Design,AWS,15,8,"english, japanese",full time,6-Senior Manager,Google cloud,google cloud,mba,US,required,No,instance,yes
Java proect KT call,Packaged App Development Analyst,Sourcing & Procurement Services > Vendor Management,18,Business Operation Management,ASP.NET MVC,front end,16,8,"english, japanese",full time,11-Analyst,SAP,google cloud,mca,CN,required,yes,instance,yes
Test team status call,Quality Engineering Team Lead,Software Engineering > Quality Engineering,2,SAP ABAP Development,Agile Team Practices,AWS,16,10,"english, french",part time,11-Analyst,SAP,Java,btech,CN,optional,No,instance,no
scrum call SAP project ,Quality Engineering Associate Manager,Software Engineering > Custom Software Engineering,3,Behavioral Sciences,Jakarta Enterprise Beans,Azure,19,6,"english, french",part time,6-Senior Manager,Google cloud,angular,mba,US,optional,yes,series,yes
new vendor onboarding call,People Advisor Analyst,Software Engineering > Custom Software Engineering,27,Java Enterprise Edition,Vendor Management,AWS,13,8,"english, german",part time,12-Associate,SAP,dot net,btech,IN,required,No,instance,yes
Java proect KT call,Quality Engineering Associate Manager,Software Engineering > Packaged Application Development,1,Microsoft ASP.NET,Angular,Azure,7,8,"english, french",full time,10-Senior Analyst,Microsoft frontend,SAP,btech,CN,required,No,series,yes
User login issue - client call,Quality Engineering Associate Manager,Software Engineering > Packaged Application Development,21,Microsoft Azure Machine Learning,Microsoft Avanade Agile Framework (AAF),Scrum,3,11,"english, hindi",full time,6-Senior Manager,Microsoft backend,Java,mba,IN,required,No,instance,no
java training call,Tech Architecture Manager,Software Engineering > Packaged Application Development,10,Advance Front End Development NodeJs,Amazon Web Services (AWS),management ,7,11,"english, hindi",part time,12-Associate,Cloud,dot net,btech,IN,optional,No,instance,no
Agile scrum KT call,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,8,Automated Testing,Jakarta Enterprise Beans,Google cloud,19,12,"english, japanese",part time,12-Associate,AWS,dot net,btech,PH,required,No,instance,yes
scrum call SAP project ,People Advisor Analyst,Software Engineering > Custom Software Engineering,14,Business Operation Management,Amazon Web Services (AWS),AWS,11,10,"english, german",full time,11-Analyst,Cloud,SAP,mca,IN,required,No,instance,yes
Test team status call,Quality Engineering Team Lead,Software Engineering > Quality Engineering Architecture,9,Angular,Avanade Scrum Project Management,management ,18,10,"english, french",full time,6-Senior Manager,Microsoft frontend,Java,mba,US,optional,No,instance,yes
new vendor onboarding call,Packaged App Development Analyst,Sourcing & Procurement Services > Vendor Management,6,ASP.NET MVC,Microsoft Avanade Agile Framework (AAF),Azure,15,10,"english, japanese",part time,6-Senior Manager,Azure,angular,mba,PH,required,No,instance,yes
User login issue - client call,Quality Engineering Associate Manager,Software Engineering > Custom Software Engineering,12,Microsoft ASP.NET,Quality Engineering Strategy Implementation,AWS,10,11,"english, french",full time,12-Associate,AWS,Azure,btech,PH,optional,yes,series,yes
weekly status call ,custom software engineering associate manager,Technology & Information Architectures > Technology Architecture,25,Java Enterprise Edition,Amazon Web Services (AWS),Scrum,4,10,"english, french",part time,8-Associate Manager,Microsoft backend,Java,bca,IN,required,No,instance,yes
troubleshooting call - login issue,custom software engineering analyst,Software Engineering > Quality Engineering Architecture,25,Business Operation Management,Avanade Scrum Project Management,front end,10,12,"english, french",full time,11-Analyst,Google cloud,angular,bca,IN,optional,No,series,no
Java proect KT call,Business Interlock Manager,Training & Development > Business Interlock,16,Microsoft ASP.NET,Amazon Web Services (AWS),Azure,10,11,"english, hindi",full time,12-Associate,Google cloud,angular,btech,IN,optional,No,instance,yes
people lead connect - discuss queries,Quality Engineering Team Lead,Technology & Information Architectures > Technology Architecture,25,Communications Development and Delivery,Culture Strategy,management ,16,8,"english, hindi",part time,7-Manager,Azure,Azure,btech,PH,optional,No,instance,yes
java training call,Business Interlock Manager,Technology & Information Architectures > Technology Architecture,2,Microsoft Functional Testing,Candidate Relationship Management,front end,18,5,"english, french",full time,11-Analyst,SAP,SAP,mba,IN,optional,No,instance,yes
people lead connect - discuss queries,custom software engineering analyst,Technology & Information Architectures > Technology Architecture,16,.NET Architecture,Microsoft Avanade Agile Framework (AAF),Scrum,1,11,"english, japanese",full time,9-Team Lead/Consultant,SAP,dot net,btech,SL,required,No,instance,yes
people lead connect - discuss queries,Business Interlock Manager,Software Engineering > Packaged Application Development,29,Automated Testing,Agile Team Practices,Selenium,1,12,"english, japanese",full time,12-Associate,project management,management,btech,IN,required,No,instance,yes
new vendor onboarding call,custom software engineering analyst,Software Engineering > Custom Software Engineering,25,Stakeholder Management,Microsoft Avanade Agile Framework (AAF),Azure,7,12,"english, hindi",part time,12-Associate,Microsoft backend,Azure,mca,US,optional,No,instance,no
Test team status call,Packaged App Development Analyst,Technology & Information Architectures > Technology Architecture,6,Applications Architecture,IT Troubleshooting,front end,19,11,"english, hindi",full time,12-Associate,AWS,management,bca,PH,optional,yes,instance,yes
people lead connect - discuss queries,Quality Engineering Associate Manager,Training & Development > Business Interlock,14,Behavioral Sciences,Amazon Web Services (AWS),Azure,12,11,"english, hindi",full time,12-Associate,Google cloud,SAP,btech,PH,required,No,instance,yes
User login issue - client call,custom software engineering analyst,Information Technology Operations > Software/Application/Cloud Tech Support,18,Applications Architecture,Microsoft Avanade Agile Framework (AAF),management ,1,11,"english, japanese",full time,9-Team Lead/Consultant,Azure,management,btech,SL,optional,No,instance,no
scrum call SAP project ,custom software engineering analyst,Software Engineering > Custom Software Engineering,2,Behavioral Sciences,Microsoft Avanade Agile Framework (AAF),Google cloud,4,8,"english, japanese",full time,12-Associate,Microsoft backend,angular,mca,IN,optional,No,instance,yes
Java proect KT call,Packaged App Development Analyst,Training & Development > Business Interlock,24,Microsoft ASP.NET,Angular,AWS,8,12,"english, japanese",full time,12-Associate,Microsoft backend,Azure,mca,CN,required,No,series,yes
weekly status call ,Vendor Management Specialist,Sourcing & Procurement Services > Vendor Management,6,Communications Development and Delivery,SAP for Utilities ,Azure,8,8,"english, japanese",full time,12-Associate,AWS,google cloud,bca,IN,optional,No,instance,yes
java training call,Talent Strategy Senior Manager,Software Engineering > Custom Software Engineering,16,Java Enterprise Edition,IT Troubleshooting,Google cloud,19,8,"english, french",full time,6-Senior Manager,Cloud,Azure,mca,US,optional,No,series,no
